concept_name,concept_title,category,unit,min_value,max_value,description,omop_id,source,table_name,sub_var,val_var,unit_var,index_var,method,match_value,class,dict,typ,ref,clean,conversion,ricu,blended
k,Potassium,chemistry,mEq/L,0,10,potassium,4207483,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50971,itm_itm,d_labitems,ts,ricu,0,none,,
k,Potassium,chemistry,mEq/L,0,10,potassium,4207483,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50971,itm_itm,d_labitems,ts,ricu,0,none,,
lact,Lactate,blood gas,mmol/L,0,50,lactate,4191725,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50813,itm_itm,d_labitems,ts,ricu,0,none,,
lact,Lactate,blood gas,mmol/L,0,50,lactate,4191725,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50813,itm_itm,d_labitems,ts,ricu,0,none,,
lymph,Lymphocytes,hematology,%,0,100,lymphocytes,4254663,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51244,itm_itm,d_labitems,ts,ricu,0,none,,
lymph,Lymphocytes,hematology,%,0,100,lymphocytes,4254663,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51244,itm_itm,d_labitems,ts,ricu,0,none,,
mch,Mean Corpuscular Hemoglobin,hematology,pg,0,NA,mean corpuscular hemoglobin,4182871,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51248,itm_itm,d_labitems,ts,ricu,0,none,,
mch,Mean Corpuscular Hemoglobin,hematology,pg,0,NA,mean corpuscular hemoglobin,4182871,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51248,itm_itm,d_labitems,ts,ricu,0,none,,
mchc,Mean Corpuscular Hemoglobin Concentration,hematology,%,20,50,mean corpuscular hemoglobin concentration,4290193,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51249,itm_itm,d_labitems,ts,ricu,0,none,,
mchc,Mean Corpuscular Hemoglobin Concentration,hematology,%,20,50,mean corpuscular hemoglobin concentration,4290193,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51249,itm_itm,d_labitems,ts,ricu,0,none,,
mcv,Mean Corpuscular Volume,hematology,fL,50,150,mean corpuscular volume,4016239,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51250,itm_itm,d_labitems,ts,ricu,0,none,check,
mcv,Mean Corpuscular Volume,hematology,fL,50,150,mean corpuscular volume,4016239,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51250,itm_itm,d_labitems,ts,ricu,0,none,check,
methb,Methemoglobin,blood gas,%,0,100,methemoglobin,4204561,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50814,itm_itm,d_labitems,ts,ricu,0,none,,
methb,Methemoglobin,blood gas,%,0,100,methemoglobin,4204561,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50814,itm_itm,d_labitems,ts,ricu,0,none,,
resp,Respiratory Rate,respiratory,insp/min,0,120,respiratory rate,4313591,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,618|619|220210|224688|224689|224690,itm_itm,d_items,ts,ricu,0,none,,
dex,Dextrose (as D10),medications,ml/hr,0,NA,dextrose (as D10),4197597,miii_demo_coh,inputevents_cv,itemid,amount,amountuom,charttime,itemid,30016|30017,itm_itm,d_items,ts,ricu,0,unknown_but_needed,,
dex,Dextrose (as D10),medications,ml/hr,0,NA,dextrose (as D10),4197597,miii_demo_coh,inputevents_mv,itemid,amount,amountuom,starttime,itemid,220950|228140|220952,itm_itm,d_items,ts,ricu,0,unknown_but_needed,,
mg,Magnesium,chemistry,mg/dL,0.5,5,magnesium,4243005,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50960,itm_itm,d_labitems,ts,ricu,0,none,,
mg,Magnesium,chemistry,mg/dL,0.5,5,magnesium,4243005,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50960,itm_itm,d_labitems,ts,ricu,0,none,,
resp,Respiratory Rate,respiratory,insp/min,0,120,respiratory rate,4313591,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,618|619|220210|224688|224689|224690,itm_itm,d_items,ts,ricu,0,none,,
na,Sodium,chemistry,mEq/L,110,165,sodium,4208938,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50983,itm_itm,d_labitems,ts,ricu,0,none,,
sao2,Arterial Oxygen Saturation,respiratory,%,50,100,arterial oxygen saturation,40483579,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,834|220227,itm_itm,d_items,ts,ricu,0,none,,
na,Sodium,chemistry,mEq/L,110,165,sodium,4208938,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50983,itm_itm,d_labitems,ts,ricu,0,none,,
neut,Neutrophils,hematology,%,0,100,neutrophils,4148615,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51256,itm_itm,d_labitems,ts,ricu,0,none,,
neut,Neutrophils,hematology,%,0,100,neutrophils,4148615,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51256,itm_itm,d_labitems,ts,ricu,0,none,,
o2sat,Oxygen Saturation,respiratory,%,50,100,oxygen saturation,4011919,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50817,itm_itm,d_labitems,ts,ricu,0,none,,
o2sat,Oxygen Saturation,respiratory,%,50,100,oxygen saturation,4011919,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50817,itm_itm,d_labitems,ts,ricu,0,none,,
sao2,Arterial Oxygen Saturation,respiratory,%,50,100,arterial oxygen saturation,40483579,miii_demo_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,834|220227,itm_itm,d_items,ts,ricu,0,none,,
pco2,CO2 Partial Pressure,blood gas,mmHg,10,150,CO2 partial pressure,4097882,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50818,itm_itm,d_labitems,ts,ricu,0,none,,
ins,Insulin,medications,units/hr,0,NA,insulin,42537007,miii_demo_coh,inputevents_cv,itemid,amount,amountuom,charttime,itemid,30045|30100,itm_itm,d_items,ts,ricu,0,none,,
ins,Insulin,medications,units/hr,0,NA,insulin,42537007,miii_demo_coh,inputevents_mv,itemid,amount,amountuom,starttime,itemid,223258|223260,itm_itm,d_items,ts,ricu,0,none,,
pco2,CO2 Partial Pressure,blood gas,mmHg,10,150,CO2 partial pressure,4097882,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50818,itm_itm,d_labitems,ts,ricu,0,none,,
ph,pH of Blood,blood gas,NA,6.8,8,pH of blood,4097822,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50820,itm_itm,d_labitems,ts,ricu,0,none,,
ph,pH of Blood,blood gas,NA,6.8,8,pH of blood,4097822,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50820,itm_itm,d_labitems,ts,ricu,0,none,,
sbp,Systolic Blood Pressure,vitals,mmHg,0,300,systolic blood pressure,4152194,miii_coh,chartevents,itemid,valuenum,valueuom,charttime,itemid,51|455|6701|220050|220179,itm_itm,d_items,ts,ricu,0,none,,
phos,Phosphate,chemistry,mg/dL,0,40,phosphate,4017907,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50970,itm_itm,d_labitems,ts,ricu,0,none,,
phos,Phosphate,chemistry,mg/dL,0,40,phosphate,4017907,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50970,itm_itm,d_labitems,ts,ricu,0,none,,
plt,Platelet Count,hematology,K/uL,5,1200,platelet count,4267147,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,51265,itm_itm,d_labitems,ts,ricu,0,none,,
